Title,Description,Aims,Learning outcome( Expecting outcome),Type label,Location,Organization,Year,SDGs related,Related to which discipline,Useful for which industries,Source,id
How can we best use the earth’s geothermal energy sustainably for all of our futures?,"Geothermal energy can provide a clean, cheap and reliable power supply in many different countries around the world. In countries like Indonesia and Kenya it has the potential to replace biomass and fossil fuel sources reducing deforestation and mitigating climate change. In other countries electricity generated using geothermal energy can be used to support intermittent renewable energy sources such as wind and solar. The nature of geothermal energy means that it cannot be transported so it creates jobs and infrastructure locally as well as opportunities for a cascade of different industries around the resource. New Zealand is a world leader in geothermal energy technology and our team at the Geothermal Institute are proud to be teaching the next generation of geothermal energy experts. Through knowledge transfer and innovative research we can use geothermal energy to help achieve sustainable development for everyone.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,7,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-engineering/JohnOSullivan.html,369
Improving quality of life by sustainably managing urban water,"Our goal is to support sustainable and resilient urban water management. Urban water management is globally important as half of the world’s population lives in cities. In New Zealand, 70% of the population lives in urban areas. We aspire to provide innovative, sustainable solutions to mitigate the impacts of urbanisation on the environment and also the impacts of climate change on urban water management. We are proud to be at the forefront of this research, with strong collaborations with industry and overseas universities. Together, we are developing solutions that make significant contributions to improving quality of life. We’re pleased that our research contributes to the United Nations Sustainable Development Goals and looking forward to the next step: our future research that will focus on how big data can be efficiently utilised in the sustainable management of urban water.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,7,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-engineering/AsaadShamseldin.html,370
"The nation-state’s responsibility for protecting the global commons (oceans, atmosphere, Antarctica)","The Planetary Integrity Project is a collaboration between world-leading environmental lawyers to develop legal tools for the Anthropocene era, to ensure humanity can live in a ‘safe operating space’ within the planet’s boundaries. The results will be presented to the United Nations in 2020. This project is coordinated by the New Zealand Centre for Environmental Law at the University of Auckland, which provides leading-edge research and training for sustainability law and governance.
The NZCEL has initiated a global network of environmental law scholars, the Ecological Law and Governance Association, and an Earth Trusteeship Council has been proposed to ensure UN member states act in the interest of the global commons and future generations.

When, in 2020, the UN reviews progress on implementing the Sustainable Development Goals, we’ll have the chance to build coherence between the goals and establish the Earth Trusteeship Council to oversee the process.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"3, 11, 13, 14, 15, 16, 17 ",Humanities and Law,Public administration and safety,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-law/KlausBosselmann.html,371
How should international courts and tribunals balance national and international environmental and economic regulation?,"The abundance of international regulation raises some important and complex questions. What happens if international rules clash with national sovereignty? If there is a dispute who will sort this out, and how? What principles should govern the interface between sovereignty and international law when it comes to protecting globally shared interests? How supported and accountable are international tribunals in making these decisions? These are some of the issues tackled in a book Caroline is writing with support from a Royal Society Marsden Grant. This work investigates states’ powers to protect national health, biosecurity and community values, and their international obligations to protect the environment. Associated research by PhD candidate Ute Decker looks into the relationship between industry and governments in advancing international environmental common concerns. We hope to encourage reflection on the ways government advisers, lawyers, judges, arbitrators, NGOs, scholars, industry and world citizens make their contribution to the SDGs.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"3, 7, , 8, 9, 10, 11, 12, 13, 14, 16, 17",Humanities and Law,Public administration and safety,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-law/CarolineFoster.html,372
How do we ensure the protection of Indigenous peoples' rights in international and constitutional law?,"Indigenous peoples are some of the most marginalised peoples in the world: the poorest, the least educated and the sickest. A result of history and dispossession. We need to change that.

We have, for two decades, partnered with Indigenous peoples active in human rights at the UN to develop and now implement the UN Declaration on the Rights of Indigenous Peoples. And to thereby promote equality.

One of the ways to improve the situation for Indigenous peoples is for states to agree to and then implement Indigenous peoples’ rights, including to lands, territories and resources. Indigenous peoples have much knowledge in addressing climate change, which needs to be harnessed. Indigenous peoples also are at the frontlines of the impacts of climate change.

My hope for the future is equality for all Indigenous peoples. Future research questions include: how to innovatively accommodate Indigenous peoples in constitutional law around the globe? Protecting Indigenous peoples’ lands, territories and resources will assist in attaining the SDGs.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"1, 10, 13, 15, 16, 17",Humanities and Law,Public administration and safety,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-law/ClaireCharters.html,373
How can legal rights and remedies be used to achieve ecologically sustainable use and management of natural resources?,"We collaborate on research and teaching in environmental and resource management policy and law. We share the aspiration that law becomes part of the solution to ecological problems, not a contributory cause.

Property rights are an important cause of ecological harm, but can also be a powerful tool to provide effective solutions to environmental and resource use conflicts. Significant new research directions include the legal duty of property owners to use land sustainably, and the emergence of the ‘public trust’ doctrine requiring governments to more proactively protect environmental values.

Prue works primarily in the realm of international environmental law and the development of a legal order based upon ecological sustainability. David focuses on New Zealand law and policy, and New Zealand’s experience as a ‘laboratory’ in pioneering sustainable management of natural and physical resources.

We’ve also focused on novel and creative solutions to respond to ecological problems such as climate change, damage to oceans and fisheries resources, and the impacts of mining and energy development. ",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"3, 6, 7, 11, 13, 14, 15, 16",Humanities and Law,Public administration and safety,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-law/DavidGrinlinton.html,374
How can we use the bicycle to help us build better cities?,"The bicycle is what we call a ‘multiple satisfier’: it improves transport efficiency, creates more sustainable neighbourhoods, and lifts quality of life in our cities. Our work explores how we can leverage the power of the bicycle to address the emerging challenges of urbanisation. A collaborative venture between the University of Auckland, the University of Otago and transport consultancies Mackie Research and Dovetail Research, our project ‘The Future of the Bike’ looks at how innovations in both bicycle technologies and city planning could improve urban sustainability.

Our current work includes modelling the impact of different types of electric vehicles and exploring how e-bikes can improve our transport system. We are also examining ‘bikelash’ - why communities might object to cycle lanes. As scientists, we seek greater collaboration between researchers working in public health, ecology and urban development to find new and innovative ways to realise our commitments to the Sustainable Development Goals.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"3, 9, 10, 11, 12, , 13, 17",Health;Humanities and Law,Health care and social assistance;Public administration and safety,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-medical-and-health-sciences/KirstyWild.html,375
"Empowering the next generation to question, investigate and act is an essential contribution to a better future","The Sustainable Development Goals address long-term challenges that require the integration of knowledge and expertise from multiple perspectives. Involving adolescents in these challenges is vital. LENScience brings together schools, scientists and health professionals to invest in adolescent empowerment. Through LENScience partnerships, schools facilitate locally relevant learning programmes that support teenagers to become critically engaged citizens. This means young people who have the capabilities required to seek out and make sense of evidence from within and beyond their communities to understand societal issues, and who are motivated and empowered to act on this learning. Through LENScience partnerships, teenagers in New Zealand, Tonga and the Cook Islands are examining evidence about issues associated with the transgenerational nature of health and wellbeing. After exploring cultural, community, scientific and sociological perspectives, many participants are taking and sustaining positive actions. These actions will support the future health of the teenagers, and their potential children.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,4,Education,Education and training,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-medical-and-health-sciences/JacquieBay.html,376
Improving quality of life and health outcomes by designing non-invasive methods for managing debilitating health challenges,"One in 8 adults in New Zealand suffer from faecal incontinence and, despite the direct impact that the condition has on quality of life, access to care is limited. Our team designs tools that can be made available widely to both investigate and develop non-invasive treatment for this condition. This research has the potential to proportionally benefit sectors of society who are more frequently afflicted with incontinence.

So, while the research helps to improve health and well-being it also reduce inequalities when marginalised or minority ethnic groups are particularly afflicted. The project involves close collaboration between bioengineers and clinicians managing patients who suffer with this debilitating condition, and thereby also demonstrates the value of partnerships in contributing to the Sustainable Development Goals.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"3, 4, 10, 17",Health,Health care and social assistance,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-medical-and-health-sciences/IanBissett.html,377
Faculty of Science Sustainability Network – bringing people together to grow a sustainability culture,"We are a group of staff who care about flourishing people and thriving ecosystems, and the role our faculty and the university can play in creating these. The network includes both professional and academic staff from across the Faculty of Science. Members are invited to contribute their ideas and expertise and where appropriate to work with and support others. Any staff member in the faculty is welcome to join and suggest projects. Our initiatives include compost bins in all the kitchens in the Science Centre; an interdisciplinary teaching unit on the global clothing industry that includes Psychology, Chemistry and Sociology; a sustainable laboratories group that conducts self-audits and aims to reduce resource use; sustainability research awards for students; and a public seminar series that includes both university and guest speakers. We’d love to work with other faculties and service units, so please get in touch!",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"4, 11, 12, 13, 14, 15, 17",Health,Health care and social assistance,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-science/NikiHarre.html,378
"The Centre for Green Chemical Science: Solving global sustainability issues through interdisciplinary research, education and public engagement","Green Chemical Science involves the use of chemical principles, science and technology to tackle pressing global sustainability issues and advance society in ways that are sustainable and benign to the environment. The Centre for Green Chemical Science embraces these ideas and strives to find sustainable solutions by promoting interdisciplinary research, education, engagement with industry, and public outreach in the broad area of Green Chemical Science.

The 26 scientists and 15 research students associated with the Centre span the Faculties of Science, Engineering, and Medical and Health Sciences. Research activities include sustainable synthesis, waste to value, renewable energy, pure water, and pollution prevention. As part of the Centre’s education goals, two new Green Chemistry courses have been developed and a Green Chemical Science BSc Specialisation is on target for introduction in 2019. In outreach activities the Centre has hosted one industry meeting, two symposia and a two-day international Conference on Green Chemistry. ",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15",Engineering and Related Technologies,"Electricity, gas, water and waste services;Professional services",https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-science/JamesWright.html,379
"Research & teaching partnerships about ocean life, climate and sustainable resources","The ocean is over-fished, polluted and suffering from climate change. Our team develops and uses global databases on marine biodiversity and the ocean environment to understand the past, present and future distribution of marine species. This knowledge informs the design of networks of marine reserves, and the consequences of climate change and invasive species.

Our marine biodiversity research group specialises in biodiversity informatics, biogeography and protected areas. We come from 10 countries and collaborate with hundreds of researchers internationally. The unprecedented availability of data, and significant progress in discovering life in the ocean, have led us to dispel myths about biodiversity and support the need for more marine reserves to directly protect biodiversity from species to ecosystems, and act as controls for human impacts elsewher",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"1, 2, 3, 4, 8, 12, 13, 14, 17",Environmental and Related Studies,"Agriculture, forestry and fishing",https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-science/MarkCostello.html,380
New Zealand and sustainable urbanisation – a state of the nation report for Habitat III,"Our highly collaborative group carried out research filling an important gap in the run up to Habitat III, the United Nations conference held every 20 years on sustainable urbanisation. Our report on the sustainability of New Zealand’s cities and communities provides a benchmark statement which can be used to assess progress. While the Government did not engage with this process, our report showed how academics and researchers from around the country can work effectively together. It included contributions from Universities of Otago, Waitako, UNITEC, AUT, Massey, Lincoln and Cambridge, and from Eaqub, Ecological Foundation, Compass Housing Services, and Wellington Region Emergency Management Office. The eSocSci platform for the social sciences provided a means of connecting online. Sustainable urbanisation will help address climate change and the SDGs, and New Zealand has an important role to play despite its size. ",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"1, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 17",Humanities and Law,Professional services,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-science/JennySalmond.html,381
Why disasters have an unequal impact across society and how can we address such inequality,"Our work focuses on reducing the risk of disasters. Disasters are not extra-ordinary events. They are events that reflect how resources and power are shared within everyday society. Disasters therefore highlight structural inequalities, including challenges with gender identity, age, ethnicity, physical ability and health. We thus aim to understand the vulnerabilities and capacities of those at the margin of society who are most affected by disasters, including ethnic minorities, people with disabilities, the homeless, prisoners and children. We further develop participatory tools, especially participatory mapping and quantitative participatory methods, to foster the participation of these minority groups in reducing disaster risk. We use these tools in collaboration with NGOs, governments and local people in Asia and the Pacific.",　,　,Postgraduate program,New Zealand,university of Auckland,2022,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17  ",Humanities and Law,Public administration and safety,https://www.auckland.ac.nz/en/about-us/about-the-university/the-university/sustainability-and-environment/research-and-teaching-for-sustainability/faculty-of-science/JCGaillard.html,382
"GLOBAL 101G Global Issues, Sustainable Futures","The basis for sustainability – social issues such as population and consumption, environmental issues such as climate change, limited resources and environmental degradation. Discusses the roles that various disciplines (law, business, engineering and urban planning) will play in developing solutions, including consideration of human rights and good governance, new concepts in economics and business management which will lead to sustainable businesses, developments in science and technology which will change how we manage resources and new visions for cities and communities which will support sustainable ways of life.",　,"1. the major global issues which are posing risks to the future of society
2. the roles of professionals in various disciplines in resolving and mitigating these risks
3. how solutions are being developed at various levels to contribute to achieving sustainability
4. how to foster rational discussions on global issues and proposed solutions
5. how to assist in developing solutions and approaches to achieve sustainability.",Undergraduate course,New Zealand,university of Auckland,2022,"1, 2",Humanities and Law,Public administration and safety,https://www.auckland.ac.nz/en/study/study-options/undergraduate-study-options/general-education/course-descriptions/global-101g.html,383
"ENVSCI 101: Environment, Science and Management","ENVSCI 101/G provides an introduction to a wide range of environmental problems and possible solutions and is relevant to anyone with an interest in the environment and the well-being of our planet. It aims to facilitate critical thinking and evaluation of environmental issues, and in doing so it will explore the many challenges associated with the management of environments. ENVSCI 101 is a required course in the Environmental Science major and is also offered as a General Education course (ENVSCI 101G).",　,"1. Understand the scope of environmental science as a discipline. (Capability 1 and 6)
2. Describe the fundamental processes determining the behaviour of environmental systems, including the atmosphere, hydrosphere and biosphere (Capability 1)
4. Describe how human activity is affecting environmental systems and is changing their functioning (Capability 1, 2 and 6)
5. Apply basic skills in the fundamental methods of analysis used by environmental scientists (Capability 1, 2, 3 and 4)",Undergraduate course,New Zealand,university of Auckland,2022,1,Environmental and Related Studies,Professional services,https://courseoutline.auckland.ac.nz/dco/course/ENVSCI/101G/1225,384
GEOG 205 : Environment and Society,"In this course students will have gained an understanding of the interconnections between environment and society. Case studies from around the world highlight the ways in which people's knowledge, attitudes, social norms, and worldview influence how the perceive and interact with the environment, which includes how they respond to environmental issues (including pollution, biodiversity loss, climate change, and water scarcity) and how they engage with animals. Through lectures that cover everything from different understandings of nature, the management of freshwater and fisheries, food production and environmental justice, and responses to climate change, the lectures highlight how different forms of knowledge (scientific, local, Indigenous) mediate individuals, communities and institutions interactions with the environment and the management of resources.",　,"1. Evaluate key theoretical ideas about human-environment relations using place-based case studies from Aotearoa/New Zealand and beyond (Capability 1, 2, 5 and 6)
2. Demonstrate an introductory understanding of the diversity and depth of human geography scholarship on environment and society interactions (Capability 1, 2 and 6)
3. Be able to nvestigate and critique complex environmental problems in Aotearoa/New Zealand, Oceania, and beyond (Capability 1, 2, 3 and 5)
4. Be able to critically discuss, organise and synthesise environmental geographical knowledge about how different views, attitudes, and values influence people’s interactions with the environment (Capability 1, 2, 3, 4 and 5)
5. Develop and demonstrate an engagement with a diverse social groups’ positions by distinguishing multiple ways of seeing and valuing different knowledges (Capability 1, 4, 5 and 6)",Undergraduate course,New Zealand,university of Auckland,2022,1,Environmental and Related Studies,Public administration and safety;Professional services,https://courseoutline.auckland.ac.nz/dco/course/GEOG/205/1225,385
GEOG 325 : The Human Dimension of Disasters,"This 15-point course provides an overview of the human dimension of disasters. It covers crucial concepts and theories, vulnerability and the causes of disasters, people’s capacities and response to disasters, disaster risk reduction and management and post-disaster recovery. The course also emphasises the policy and practical outcomes of theoretical debates. Discussions draw upon examples and case studies from throughout the world with a particular focus on the most vulnerable and marginalised areas and communities. This course is based around lectures and participatory activities which actively involve the students in the learning process. Tutorials provide additional insights through video games and role games. Furthermore case studies will be used often to illustrate theoretical and methodological discussions. A treasure hunt throughout Auckland provides the students with a first-hand experience in dealing with potential disasters and associated social issues.",　,"1. Use the right concepts in the right place (Capability 1 and 2) (Capability 1 and 2)
2. Demonstrate an understanding of why disasters occur and why their impact is unequal (Capability 1 and 2) (Capability 1 and 2)
Master the main principles of sustainable disaster risk reduction and management (Capability 1, 2, 3, 4, 5 and 6) (Capability 1, 2, 3, 4, 5 and 6)
3. Recognise the main tools for policy and practice related to disaster risk reduction and management, and post-disaster recovery (Capability 1, 2, 3, 4, 5 and 6) (Capability 1, 2, 3, 4, 5 and 6)
4. Provide concrete, articulate and varied examples of disasters, their cause, their impact, and the remedial measures which have been considered in response (Capability 1, 2, 3, 4, 5 and 6) (Capability 1, 2, 3, 4, 5 and 6)",Undergraduate course,New Zealand,university of Auckland,2022,"1, 10",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/GEOG/325/1223,386
"POLITICS 222 : Public Policy: Actors, Processes and Politics","This course is designed to enable development of a conceptual ‘tool-kit’ for the explanation and evaluation of public policy. The questions asked in this course include: Why does policy matter? Who makes policy and how? What impact does globalisation have on the types of policies domestic governments deliver? The course examines the role of policy actors such as social movements, businesses, technical experts and government agencies, including the way in which the international economy and domestic political institutions shape policy outcomes, the recognition and diagnosis of policy problems, and the rationality of policy decision-making. We also delve more deeply into a series of important challenges in the following substantive policy areas: health, the environment, employment, families and the economy as well as the foundational role of the Te Tiriti/ the Treaty of Waitangi in Aotearoa New Zealand..",　,"1. Develop an understanding of what public policies are and how they relate to broader issues of politics and power. (Capability 1.1, 2.1, 3.1, 4.2, 5.1 and 6.1)
2. Recognise different policy instruments and the theoretical basis for each (Capability 1.2, 2.3, 3.2, 4.1, 5.1 and 6.3)
3. Identify and critically evaluate how policy actors and processes have evolved, and why this matters (Capability 1.2, 2.2, 3.1, 4.1, 5.1 and 6.1)
4. Explain the importance of and difference between various policy issue areas (Capability 1.1, 2.3, 3.1, 4.1, 5.2 and 6.1)
5. Be able to write a policy brief (Capability 1.2, 2.3, 3.2, 4.2, 5.2 and 6.3)
6. Be able to critically discuss and analyse a range of policy issues (Capability 1.1, 2.2, 3.2, 4.1, 5.1 and 6.1)
7. Effectively communicate arguments in written and oral form. (Capability 1.2, 2.3, 3.2, 4.2 and 5.1)",Undergraduate course,New Zealand,university of Auckland,2022,"16,17",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/POLITICS/222/1225,387
POLITICS 316 : Capitalism and its Critics,"This is a normative political theory course that draws on political economy. It is topic-based rather than based on any particular writers. The rough division of the topics is as follows:
1. What capitalism is and how it works. Private property, markets, competition, public goods, growth i.e. very basic political economy.
2. Consumption. Whether what capitalism delivers is worth it. E.g. Consumerism versus other values, such as leisure and economic democracy
3. Work. Alienation, exploitation, democracy and cooperatives, unemployment, labour regulation, Unconditional Basic Income and employment subsidies
4. Capitalism and humanity’s social side. Human nature, community.
5. Capitalism and normative political theory: justice, equality, freedom.",　,"1. Understand and explain variants of capitalism (Capability 1.1)
2. Analyse and apply political concepts relevant to capitalism (Capability 1.1, 1.2, 2.1, 2.2, 2.3 and 4.1)
3. Critically evaluate capitalist systems (Capability 1.1, 2.1, 2.2, 2.3, 4.1 and 4.2)
4. Identify and critically evaluate supposed problems and solutions in capitalism (Capability 1.1, 2.1, 2.2, 2.3, 3.1, 3.2 and 4.1)",Undergraduate course,New Zealand,university of Auckland,2022,"1, 3, 11",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/POLITICS/316/1225,388
POLITICS 320 : Social Justice,"Some people think that the first political question is ‘What should be done?' This course addresses that question in terms of justice. Students investigate the development of social justice theory in the late 20th and early 21st century. The course encourages students to develop critical perspectives by attending to questions of justice concerning autonomy, freedom and equality, gender, future generations and species.

This course should appeal to all students of politics who are interested in the ethical dimensions and philosophical justifications of public policy.  It will be of particular interest to Law and Criminology students, and to those who have taken lower level courses in political or social thought, philosophy, international relations theory or political economy  ",　,"1. Recognise and discuss the main currents of contemporary philosophical thinking about social justice. (Capability 1.1, 1.2, 2.1, 2.2 and 2.3)
2. Identify the ways in which liberal philosophical approaches to social justice have been challenged by critical theory and identity-based theory. (Capability 1.1, 1.2, 1.3, 2.1, 2.2, 2.3, 4.1 and 4.2)
3. Understand the uses of philosophical approaches to politics when we come to negotiate and respond to the actual political problems which challenge us today. (Capability 2.1, 2.2, 2.3, 3.1, 3.2, 6.2 and 6.3)
4. Recognise the relationship between domestic and global contexts when making normative political arguments (Capability 2.1, 2.2, 2.3, 3.1, 3.2, 5.1, 6.1, 6.2 and 6.3)
5. Construct a theoretically-informed argument for a political position on a social issue, and defend it in writing and in oral discussion. (Capability 1.1, 1.2, 1.3, 2.1, 2.2, 2.3, 3.1, 3.2, 4.1, 4.2, 4.3, 5.1, 5.2 and 6.3)",Undergraduate course,New Zealand,university of Auckland,2022,1,Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/POLITICS/320/1213,389
POLITICS 356 : Ethno-Political Violence: Hate Crimes to Genocide,"This course offers a theoretical and practical introduction to the causes and prevention of violent conflict. It examines the leading explanations of six forms of collective violence – hate crimes, ethnic riots, communal conflict, civil war, separatist insurgency and genocide. It examines why some places face these forms of conflict and mass killing and others don’t. It also considers how individuals can come to commit the most heinous acts against others. The course considers the role of religion, ethnonationalism, economic competition, political power, racism and privilege in motivating people to kill people from other ethnic groups and religions. We look at a number of historic and current cases of each form of conflict, explaining these events and testing the utility of the relevant theories. Cases examined include: religious riots and ethno-separatism in India, Indonesia, Myanmar and elsewhere; communal war in the Solomon Islands, Indonesia and Kenya; civil war in Syria separatist rebellion in Bougainville, Thailand and the Philippines; genocide in Rwanda, Indonesia and the Holocaust. A later module introduces some of the main concepts and policies of conflict prevention, including those currently used by international development agencies and national governments.",　,"1. Apply Theory to case studies. (Capability 1.1, 1.2, 1.3, 2.1, 2.2, 2.3, 3.1, 3.2, 4.1 and 4.2)
2. Analyse Be able to evaluate theories and analyse cases through comparative analysis (Capability 1.1 and 1.2)
3. Demonstrate an understanding of of political violence. (Capability 1.1)",Undergraduate course,New Zealand,university of Auckland,2022,"1, 11",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/POLITICS/356/1223,390
SOCIOL 100 : Issues and Themes in Sociology,"This course introduces sociology as a way of seeing and understanding the social world. Using the ""sociological imagination"" we investigate how society forms us as individuals and we in turn act collectively to construct and maintain the societies in which we live.
 
Topics include family, religion, work, media and social movements as well as the sociological concepts of class, ethnicity and nationalism, power, identity and globalisation. Students are introduced to the pleasures of understanding the social contexts in which we make our lives through examples drawn from many different societies and cultures. At the same time we explore why sociological analyses and common sense ideas about society are often quite different from each other.  ",　,"1. Understand basic sociological theories.
2. Develop a critical sociological imagination.
3. Identify contemporary social problems relevant globally and to Aotearoa New Zealand.
4. Understand how various sociological theories and concepts apply to one's own life. ",Undergraduate course,New Zealand,university of Auckland,2022,"11,16",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/SOCIOL/100/1225,391
"SOCIOL 210 : Colonisation, Globalisation and Social Justice","Students in this course will be asked to begin with themselves. This will involve situating themselves within the webs of relationships they inhabit, naming and engaging with injustices that they feel responsibility towards and thinking about how their own study and practice might work towards addressing those injustices. ",　,"1. Think critically about colonial contexts from a range of perspectives.
2. Situate themselves and the theory they encounter on the course in relation to the place of their thinking and learning.
3. Develop a detailed knowledge of the history and present of the colonisation of Aotearoa.
4. Better understand existing struggles for social justice and how they might act effectively within them. ",Undergraduate course,New Zealand,university of Auckland,2022,16,Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/advanceSearch?advanceSearchText=SOCIOL+210&termCodeYear=&termCodeTerm=&facultyId=&organisationCode=&stage=,392
SOCIOL 229: Environmental Sociology,"Environmental sociology provides insight into the complex social processes that define, create and even threaten our natural environment. This course gives tools with which to think sociologically about environmental issues, such as understanding how environmental issues come to be seen as environmental problems, and how political, cultural, and economic factors have come to shape our interaction with the natural environment.",　,Outline is not available yet,Undergraduate course,New Zealand,university of Auckland,2022,"11,16",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/advanceSearch?advanceSearchText=SOCIOL+229&termCodeYear=&termCodeTerm=&facultyId=&organisationCode=&stage=,393
"SOCIOL 333: Sociology of Health, Illness, and Medicine","Presents a conceptual and topical overview of the Sociology of Health, Illness, and Medicine. Specific topics to be addressed include: the social distribution of disease; the social production of disease; the social construction of 'illness'; the social construction of treatment practices; patient experiences of illness and healthcare; the social organisation of medicine; and alternative visions of healthcare.",　,Outline is not available yet,Undergraduate course,New Zealand,university of Auckland,2022,3,Humanities and Law;Health,Health care and social assistance,https://courseoutline.auckland.ac.nz/dco/course/advanceSearch?advanceSearchText=SOCIOL+333&termCodeYear=&termCodeTerm=&facultyId=&organisationCode=&stage=,394
DEVELOP 701 : Development Praxis,The aim of this course is to provide students with analytical abilities and practical skills to understand various aspects of development work. The focus is on creating a critical awareness of the tools and techniques used by development practitioners and to apply these tools in the context of a group project writing a tender applicati,　,"By the end of this semester, students should know:
1.the relationship between development theory and practice
2. the key ideological arguments used in justifying different development practices
3. how to locate these arguments in a critical discussion of particular development tools and projects",Postgraduate course,New Zealand,university of Auckland,2022,9,Engineering and Related Technologies,Professional services,https://courseoutline.auckland.ac.nz/dco/course/DEVELOP/701/1225,395
DEVELOP 710 : Development Policies and Institutions,"
This course aims at providing students with an in-depth knowledge of national and international policy approaches to alleviate poverty, enhance social justice and achieve environmental sustainability. The course will scrutinise contemporary development policies carried out by national governments, international development banks, donor agencies and UN organisations. Examples of policies that will be covered in the course are land policies, food aid policies, gender policies, migration policies, climate adaptation and mitigation policies as well as ethical and fair trade policies. Students will develop the ability to analyse complex policy-making issues, making use of both theory and empirical evidence from specific cases.",　,"1. Understand the complexity and dynamics of development policy making and the importance of policy space, particularly for least developed countries in Asia and small island developing states (Capability 1.1, 1.2, 1.3, 2.1, 2.2, 2.3, 3.1, 4.1 and 5.2)
2. Identify major policy debates at the national and international level around poverty and hunger alleviation, migration, climate change and trade (Capability 1.1, 1.2, 1.3, 2.3, 4.2, 5.2 and 6.3)
3. Explain how policy is framed in national and international development agendas and forums (Capability 1.1, 2.1, 4.1, 4.2 and 5.1)
4. Evaluate the aims of development policies and critically assess policy narratives and different approaches to policy-makin (Capability 1.3, 2.1, 3.1, 4.1, 4.2 and 5.1)",Postgraduate course,New Zealand,university of Auckland,2022,"1, 2, 5",Humanities and Law,Public administration and safety,https://courseoutline.auckland.ac.nz/dco/course/DEVELOP/710/1225,396
