Actions,Level,Digital actions,Industry,Sources,Links,Additional Notes,Action detail,SDGs,Individual/Organization,id,related_industry_org,Related Industry (org only),Column11
Earthbeat: A Global Film Challenge for Youth,5,1,,,"Act4SDGs Profile Page: https://www.act4sdgs.org/profile/YouthClimateReport
Website: http://youthclimatereport.org/
Facebook: https://www.facebook.com/youthclimatereport
Twitter: https://twitter.com/YCRTV
LinkedIn: https://www.linkedin.com/in/markjterry
Instagram: https://www.instagram.com/youth_climate_report
YouTube: https://www.youtube.com/c/YouthclimatereportOrg

Tweet: @YCRTV is holding a video🎥🎞️ competition for youth! This y",Wan,"Youth Climate Report, a 2020 SDG Action Awards🏆 honourable mention recipient, is promoting the Earthbeat video competition🎥🎞️ for youth ages 14-30 for the Global Week to #Act4SDGs. Select participants will have their own films featured on the Youth Climate Report’s GIS map🗺️, along with being considered for recognition at COP26 in Glasgow. This year, young creators are asked to incorporate one of the following themes into their work: (1) the challenge of climate change, (2) protecting and restoring ecosystems, and (3) protecting and restoring land🏞️."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3316,Information media and telecommunications,,
"Teen-Led and Teen-Run SDG Hub for #ZeroHunger in Arlington, USA",3,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/globalcolabnetwork
Facebook: https://www.facebook.com/globalcolabnetwork/
Instagram: @globalcolabnetwork
Twitter: @GlobalCoLabNet
Linkedin:https://www.linkedin.com/company/globalcolab
YouTube: https://www.youtube.com/c/globalcolabnet",Wan,"The @GlobalCoLabNetwork brings together youth from around the world through their teen-led and teen-run SDG Hubs. In Arlington, Virginia, teens run a community garden and donate fresh produce to those in need. Actions like these bring our planet closer to achieving #SDG2, #ZeroHunger. How are you taking action during the Global Week to #Act4SDGs?",2,0,3317,,,
"Sustainable Media Photo Contest in Hagåtña, Guam",5,1,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/guamgreengrowth
Website: https://guamgreengrowth.org/
Facebook: https://www.facebook.com/guamgreengrowth/
Instagram: @guamgreengrowth
Twitter: @guamgreengrowth
LinkedIn: https://www.linkedin.com/company/guamgreengrowth/
YouTube: https://www.youtube.com/channel/UCYFZLMnuQwUMb2pHIF0sI1g",Wan,"In Hagåtña, Guam an organization named Guam Green Growth🌴🌺is launching an online advocacy campaign to celebrate Sustainable September. Participants will be asked to share pictures📸 of themselves and their families practicing sustainability in various ways through each week of September. As a part of the Global Week to #Act4SDGs, the aim of the campaign is to inspire personal behavioural change and combat climate change."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3318,Information media and telecommunications,,
17Ziele Freude-Flash': A Flashmob Taking Place in 17 Cities in Germany,5,0,,," https://www.youtube.com/watch?v=2yEKJbYAd6c&t=8s

Act for SDGs Participant Page: https://www.act4sdgs.org/profile/17Ziele
Website: https://17ziele.de/
Facebook: https://www.facebook.com/17Ziele.de
Instagram: @17Ziele.de
Twitter: @17Ziele
YouTube: https://www.youtube.com/17Ziele",Wan,"Engagement Global's project #17Ziele organized the '17Ziele Freude-Flash', a flashmob for the #SDGs which took place in 17 cities 🏙️ in Germany at the same time on 18 September 2021, at 13:00. There were 850 musicians involved from 17 orchestras and 17 choirs, who performed Beethovens ""Ode to Joy""🎶 in public places, and raised awareness for solidarity, partnerships and the #SDGs. The 17Ziele Freude-Flash is a certificated world record!"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3319,Arts and recreation services,,
Youth in Mexico Join the Global Goals Jam,5,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/leon2030
Facebook: https://www.facebook.com/leon2030
LinkedIn: https://www.linkedin.com/company/leon2030
Instagram: https://www.instagram.com/leon2030_oficial/
YouTube: https://www.youtube.com/channel/UC5a1FYzNk1gcMta4a1iU3MA",Wan,"In Mexico, youth organizations are hosting a Global Goals Jam, a two-day local event established by the Digital Society School to engage changemakers and designers in contributing to the SDGs. The events establish short-term interventions with long-term impact."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3320,Professional services,,
World Cleanup Day: Digital and On-Site Cleanups,5,0,,,"Act for SDGs Convening Partner Page: https://act4sdgs.org/lets-do-it-foundation-world-cleanup-day/
Websites: https://www.worldcleanupday.org/ https://www.digitalcleanupday.org/
Facebook: @worldcleanupday.global https://www.facebook.com/worldcleanupday.global
Instagram: worldcleanupday.global https://www.instagram.com/worldcleanupday.global/
Twitter: @LetsDoItWorld https://twitter.com/letsdoitworld
LinkedIn: https://www.linkedin.com/company/worldcleanupday/
YouTube: https://www.youtube.com/worldcleanupday",Wan,"Based in Tallinn, Estonia, @worldcleanupday.global is celebrating the Global Week to #Act4SDGs through its World Cleanup Day - the largest single peacetime civic action in human history. Their digital cleanup campaign 💻 📱 🗑️ invites companies and organizations to participate in eradicating digital trash and forge new digital habits. The aim is to reduce the production of CO2 to protect our environment.","6, 11, 12, 13, 14, 15",1,3321,Information media and telecommunications,,
Youth Activists in India #TurnItAround for Climate Action and Energy Conservation,5,0,,,"Act4SDGs Partner Page: https://www.act4sdgs.org/profile/sashakt_india
Website: https://www.sashakt.org.in/
Facebook: https://www.facebook.com/sashakt.org.in
Twitter: @SashaktFndn
Instagram: @sashakt_foundation
Linkedin: https://www.linkedin.com/company/sashakt-foundation/",Wan,"The Sashakt Foundation, based in India, is empowering school children to become youth activist and take action for environmental and energy conservation. During the Global Week to #Act4SDGs, participants will learn more about waste management and water conservation in their local languages through songs 🎵and physical activities🏃🏻‍♀️which promote #SDG3 – Good Health and Well Being⚕️.","6, 13, 14, 15",1,3322,Arts and recreation services,,
MY World 360˚: Shining the Spotlight on the SDGs through Immersive Media & Storytelling,5,1,,,"Act4SDGs Partner Page: https://www.act4sdgs.org/profile/myworld360
Website: www.myworld360.org
YouTube:https://www.youtube.com/watch?v=H7AlK9i_ML4",Wan,"Throughout the Global Week to #Act4SDGs, #MYWorld360 is screening new AR projects from Australia and Germany. This immersive storytelling programme features creators from around the world🌎who produce thought-provoking immersive media projects🎥🎨 that inspire SDG action. Learn more and get involved ➡ www.myworld360.org"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3323,Information media and telecommunications,,
"African Monitor: Implementing a Turning Point Dialogue to Accelerate the Delivery of the SDGs in Kampala, Uganda","5,6",1,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/African_Monitor_Ug
Website: https://www.africanmonitor.org/
Facebook: https://www.facebook.com/AfricanMonitor/",Wan,"Stemming from Kampala, Uganda, @AfricanMonitor is an NGO aiming to accelerate the delivery of SDGs to #TurnItAround. The African Monitor and the Youth Coalition for SDGs will bring together stakeholders from government, business and civil society in a Turning Point Dialogue📢to develop a shared understanding and a common pathway for accelerated delivery of the SDGs in Uganda."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3324,Public administration and safety,,
Bonn SDG Days: 17 Days for the 17 Global Goals,5,0,,,"Act for SDGs Participant Page: https://www.act4sdgs.org/profile/Birgit
Website: https://www.bonn.de/microsite/en/press-releases/september-2021/bonn-sdg-days-umbrella-roof-in-the-colors-of-the-17-un-sustainable-development-goals.php
Facebook: https://www.facebook.com/bundesstadtbonn
Instagram: @bonn.de
Twitter: @BonnGlobal
YouTube: https://www.youtube.com/user/BundesstadtBonn",Wan,"The City of Bonn is dedicating 17 SDG-filled days to the 17 #GlobalGoals! Greenpeace Bonn, FEMNET association and Zentrallager Sachspenden Bonn are organizing a clothing exchange party, which includes a sewing workshop. The Bonn action group of UN Women is offering two feminist geocaching tours through Bonn. An exciting SDG pub quiz, in German and Arabic, will be hosted by the association Abenteuer Lernen. The city is also showing its colours for sustainability by erecting a beautiful umbrella canopy over one of the main streets to represent their commitment to the #SDGs. How does your municipality #Act4SDG?"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3325,Arts and recreation services,,
Shahwaiz from Pakistan is Using his Musical Talent to Create a Positive Ripple Effect to #Act4SDGs,5,0,,,"Act4SDGs Profile Page: https://www.act4sdgs.org/profile/Instrumentals4Change
Instagram: https://www.instagram.com/p/CSH06zvAbN-/",Wan,"Shahwaiz, an individual in Pakistan is using his musical talents 🎵@instrumentals4change to raise awareness about the devastating impacts of climate change. His self-composed song, the Sound of Nature, encourages society to reflect upon our environment and to become beacons of positive change. ","6, 12, 13, 14, 15",1,3326,Arts and recreation services,,
Food Systems Caravan: A 50-day Journey Across West Africa to Ensure Sustainable Agro-Industries,5,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/Food_Systems_Caravan
Website: https://foodsystemscaravan.org/
Facebook: https://www.facebook.com/foodsystemscaravan
YouTube: https://www.youtube.com/channel/UCyW6wouvJ0He4YASSF21beA",Wan,"This Global Week to #Act4SDGs, the @FoodSystemsCaravan🚐is gearing up for their 50-day journey across West Africa🌍, linking actors to promote knowledge exchanges on food systems sustainability, including agroecology, agroforestry, organic farming and gender equality.","1, 2, 3, 5, 10",1,3327,"Agriculture, forestry and fishing",,
The Niko Ketskhoveli School Award: A School Competition in Georgia to Achieve the SDGs,5,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/ThinkNaturally
Website: http://www.cenn.org/
Facebook: https://www.facebook.com/ThinkNaturally/about/?ref=page_internal",Wan,"CENN, an organization working to protect our environment through fostering sustainable development throughout the South Caucasus, is hosting the Niko Ketskhoveli School Award🏆. Hundreds of schools and eco-clubs in Georgia carry out activities to achieve the #SDGs each year. The results are presented in a competition. This initiative supports #QualityEducation by inspiring youth to be the change in their communities."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3328,Education and training,,
Runa Ray: Using Fashion as Activism for Policy Change,5,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/runaray
Websites: https://www.runaray.com/ & https://sustainablefashionworkshop.com/
YouTube: https://www.youtube.com/channel/UC1bl4M1TnMHPjabKlWXMqig",Wan,"Runa Ray, a fashion designer and environmentalist, places sustainability at the center of her work by using fashion👚👒as activism to advocate for policy change. Her designs utilize nature-based solutions, incorporating organic dyes and materials which keep our environment safe."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3329,Arts and recreation services,,
A Social Innovation Platform in Southern Thailand is Strengthening Local Food Systems,5,0,,,"#Act4SDGs Profile Page: https://www.act4sdgs.org/profile/SDGintegration
Website: https://sdgintegration.undp.org/countries/thailand
YouTube Video: https://www.youtube.com/watch?v=_Lv1ar-BmJc",Wan,"In Thailand, 30% of the population suffers from food insecurity. To combat the impact of COVID-19 on local #FoodSystems, @UNDPThailand & @agirrecenter created a social innovation platform to channel new finance, ideas and know-how👇🏾: https://sdgintegration.undp.org/countries/thailand ⏰ The time is now to transform local food systems and unlock progress across the #GlobalGoals.",2,1,3330,Information media and telecommunications,,
Green Market: Promoting Local Farmers and Sustainable Agriculture in Trinidad and Tobago,5,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/greenmarketsantacruz
Website: http://www.greenmarketsantacruz.com/
Facebook: https://www.facebook.com/GreenMarketSantaCruz",Wan,"In Trinidad and Tobago, The @GreenMarketSantaCruz works with farmers to reduce, and ultimately eliminate, the use of synthetic chemical pesticides and fertilisers and genetically modified seeds in local production. During the Global Week to #Act4SDGs, the Green Market hosted ‘Chocolate Day’ 🍫to promote local land-based entrepreneurs.","2, 9, 15 ",1,3331,"Agriculture, forestry and fishing",,
Manuel Fernandez in Madrid Spain is #Acting4SDGs through a Fashion Art Insititue with an aim of contributing to social change and sustainability,5,0,,,"Act for SDGs Profile Page: https://www.act4sdgs.org/profile/178993115523791
Website: http://fashionartinstitute.org/
Facebook: https://www.facebook.com/Fashion-Art-Institute-178993115523791/
Instagram: fashionartinstitute https://www.instagram.com/fashionartinstitute/?hl=es
Twitter: @FAINSTITUTE https://twitter.com/FAInstitute
YouTube: https://www.youtube.com/user/FashionArtInstitute",Wan,"With an aim to #TurnItAround, Manuel Fernandez introduced a new Fashion Art Institute in Madrid, Spain. This project includes a collection made under the umbrella of the 3R (reduce, reuse and recycle) using donated clothes to make a public statement. Not just that, this collection is made entirely by ten Nigerian women who were victims of trafficking giving space for social justice and sustainability","5, 10",1,3332,Arts and recreation services,,
Global Goals World Cup Saudi Arabia 2021,5,0,,,https://trello.com/c/7jD88HDg/60-global-goals-world-cup-saudi-arabia-2021,Wan,"The first ever Global Goals World Cup Saudi Arabia event has taken place in Diriyah, with 26 all-female teams advocating for social and environmental sustainability while battling it out for the chance to take part in the Global Goals World Cup (GGWCUP) grand finale in November.

Hosted by the Saudi Sports for All Federation at Elite Sports Centre in Diriyah, the Kingdom’s inaugural GGWCUP event took place between Thursday, September 16 and Saturday, September 18. The event, sponsored by Adidas and Novo Nordisk, combined social impact and sport, as the teams competed in a 5-a-side football tournament as part of their campaigns to highlight the United Nations’ Sustainable Development Goals (SDGs).

“I congratulate all of the 26 teams for having the drive and conviction to take part in the first GGWCUP Saudi Arabia, and for all of their individual contributions to the success of this event championing the UN Sustainable Development Goals,”
— HRH Prince Khaled bin Alwaleed bin Talal Al Saud, President of the Saudi Sports for All Federation."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3333,Arts and recreation services,,
TurnItAround AR Filters,5,1,,,https://trello.com/c/KgvqsqCg/49-turnitaround-ar-filters,Wan,"Changing everything will take everyone. Use the filter to show the world how you #TurnItAround. Together we’ll spark a movement of people power not just powerful people. Join us #Act4SDGs → act4sdgs.org
.......................................................
- Show your support for people and the planet by using the new #TurnItAround AR filter on Instagram and Facebook and tag us at @SDGaction. Take a photo or record a video for your followers!

Together we’ll spark a movement of people power not just powerful people. Join us #Act4SDGs"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3334,Information media and telecommunications,,
"17 Goals, 169 Targets",5,0,,,"https://www.undp.org/sustainable-development-goals
https://twitter.com/SDGaction/status/1393552081202593794
https://www.facebook.com/SDGaction/posts/10158607616182496",Wan,Do you know that there are 169 Targets under the 17 Sustainable Development Goals?," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3335,Information media and telecommunications,,
Butterfly,3,0,,,"bit.ly/GlobalFestFilterFrame
https://twitter.com/SDGaction/status/1398592084047589376
https://www.facebook.com/SDGaction/photos/a.126893412495/10158640772617496/",Wan,The SDG 🦋 Wings is a way for people to raise awareness for the #GlobalGoals and inspire your friends to help create a ripple effect of transformative change for a better world.," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",0,3336,,,
Greenpoint Earth winner - 'High Tide',5,0,,,https://www.instagram.com/p/CN-TAR3Hvne/,Wan,"Check out the first-ever carbon-neutral @greenpointinnovations street art activation by #GreenpointEARTH #Screens2Streets winner @ienacruz

🌊‘High Tide’ honors nature and its essential role as a resource in humankind’s past and present era of industrialization #TurnItAround #SDGActionZone #EarthDay #ArtPlusPurpose"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3337,Arts and recreation services,,
2021 Selection,5,1,,,https://trello.com/c/5RlQNlZ5/45-2021-selection,Wan,"🎬Presenting the official 2021 #MYWorld360 selection that takes us on an immersive journey to #TurnItAround for climate, gender & inequalities!","5, 10",1,3338,Information media and telecommunications,,
Awards winners,5,0,,,https://trello.com/c/AM4HoQJV/100-awards-winners,Wan,"The Sexual Harassment Project @StandtoEndRape exposes and fights against sexual and gender-based violence in educational institutions🏫in Nigeria, as captured in the #BBCAfricaEye documentary #SexForGrades 🎥",5,1,3339,Information media and telecommunications,,
Highlights Video,5,0,,,"https://youtu.be/cuiT6ymgWCw
https://unsdgaction.medium.com/playfair-live-from-milan-812676c23c27",Wan,"Thank you for joining us live from Milan on 17 July! Together with thousands of people across the world, we heard incredible artists Margherita Vicario, Epoque and Populous raise their voices for sustainability, gender equality, and give messages of hope and inspiration to turn things around. Music truly unites us, no matter who and where we are! And we saw that solidarity can keep us going during these challenging times.",5,1,3340,Arts and recreation services,,
STUDENT ENGAGEMENT THROUGH TAKE ONE STEP,5,1,,"2017. GETTING STARTED WITH THE SDGS IN UNIVERSITIES. AUSTRALIA, NEW ZEALAND & PACIFIC EDITION.
https://takeonestep.com.au/",https://www.monash.edu/msdi/study/extra-curricular-education/take-one-step,Add by Hongyi,"Take One Step is designed as an interactive platform that plays on student’s competitive instincts, participating students are asked to commit to a SDG-inspired change in their life, document their progress, take quizzes and read learning content."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3341,Information media and telecommunications,,
STUDENT LEADERSHIP FORUM ON THE SDGS,5,0,,"2017. GETTING STARTED WITH THE SDGS IN UNIVERSITIES. AUSTRALIA, NEW ZEALAND & PACIFIC EDITION.",https://www.monash.edu/about/leadership/student-programs,Add by Hongyi,"The Monash Sustainable Development Institute hosted the
Monash Student Leadership Forum on the SDGs with the aim of bringing together student leaders and
key staff to discuss how Monash student action on the SDGs could be better recognised, connected,
and amplified."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3342,Education and training,,
SDG IDEATION FORUM,5,0,,"2017. GETTING STARTED WITH THE SDGS IN UNIVERSITIES. AUSTRALIA, NEW ZEALAND & PACIFIC EDITION.",https://www.westernsydney.edu.au/excellence_awards/awards,Add by Hongyi,"In November 2016 an Ideation Forum was held at Victoria, bringing together 57 staff and postgraduate students from across all faculties with invited guests from the business, civil society and government sectors"," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3343,Education and training,,
RECOGNISING SDG IMPACT IN UNIVERSITY AWARDS,5,0,,"2019. GETTING STARTED WITH THE SDGS IN UNIVERSITIES. AUSTRALIA, NEW ZEALAND & PACIFIC EDITION.",https://www.westernsydney.edu.au/excellence_awards/awards,Add by Hongyi,"The Western
Sydney University Awards celebrate the significant achievements of Western Sydney University’s staff and
students."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3344,Education and training,,
SOCIAL GOOD SUMMIT,5,0,,"2020. GETTING STARTED WITH THE SDGS IN UNIVERSITIES. AUSTRALIA, NEW ZEALAND & PACIFIC EDITION.","http://www.socialgoodsummit.com.au/
https://www.youtube.com/watch?v=6tTJlwbPNCY&feature=youtu.be",Add by Hongyi,"In 2015 the University of Sydney’s Business School teamed up with Social Good Summit Australia to host a Summit highlighting the efforts of business, not-for-profit, as well as government and civic society in Australia to work towards the SDGs."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3345,Education and training,,
SDG Editorial Calendar 2021,5,1,,,https://trello.com/b/ZSvAISST/sdg-editorial-calendar,Add by Hongyi,It is a sharing platform that can update the latest SDGs information via media cards every month.," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3346,Information media and telecommunications,,
17 SDGs maps,5,1,,,https://dashboards.sdgindex.org/map,Add by Hongyi,"Geospatial information is crucial for the UN to measure and monitor the progress of the GlobalGoals.
These SDG maps highlight the latest global trends as the challenges our world faces to realize the 2030 agenda."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3347,Information media and telecommunications,,
Trolls Food Heroes,5,0,,,https://trello.com/b/Y5pkM2PT/trollsfoodheroes-campaign-digital-assets,Add by Hongyi,"On Friday, 19 November, the UN (DGC), FAO, the UN Foundation, along with DreamWorks Animation launches a global digital campaign featuring the characters from the Trolls movie franchise Trolls and Trolls World Tour."," 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1,3348,Information media and telecommunications,,
World Bank - IMF Annual Meetings + End Poverty Day,5,0,,,https://trello.com/b/kXMzadl2/annual-meetings-2021,Add by Hongyi,"It is a virtual Annual Meetings event where they discussed how to achieve a green, resilient, and inclusive recovery from the pandemic and how to prepare for future crises.
The sharing wbesite was also established to provide the information of the meeting."," 1, 2",1,3349,Information media and telecommunications,,
International Day of Rural Women - UN Women,5,0,,,https://trello.com/b/dBdEjpGk/international-day-of-rural-women,Add by Hongyi,"15 October is the International Day of RuralWomen and this year’s theme is “Rural Women Cultivating Good Food for All,” following the historic first UN Food System Summit held in September 2021. ",2,1,3350,Accommodation and food services,,
UN Biodiversity Conference,5,0,,,https://trello.com/b/0n5fUAE5/cop-15-post-2020-global-biodiversity-framework,Add by Hongyi,This meeting will provide political momentum for the development of the post2020 global biodiversity framework.,"12, 13, 14, 15",1,3351,Public administration and safety,,
UN Global Transport Conference,5,0,,,"https://www.un.org/sites/un2.un.org/files/second_un_global_sustainable_transport_conference_information_note_1609_1.pdf
https://trello.com/b/L0dvY7gs/un-sustainable-transport-conference-14-to-16-october-2021",Add by Hongyi,"The theme of the Conference will be “Sustainable Transport, Sustainable Development.” It will focus attention on the opportunities, challenges and solutions towards achieving sustainable transport worldwide, and indicate a way forward for sustainable transport to help achieve the objectives of the 2030 Agenda for Sustainable Development and the Paris Agreement on climate change in the Decade of Action to Deliver the SDGs."," 7, 8 ,9, 11 , 12 ,13",1,3352,"Transport, postal and warehousing",,
3rd WHO Health for All Film Festival - Call for Entries + jury composition ,5,0,,,https://www.who.int/initiatives/the-health-for-all-film-festival,Add by Hongyi,"Films are a powerful way to raise awareness, improve understanding and encourage action so that this festival aims to contribute to health promotion and education about health.
The WHO Health for All Film Festival invites independent filmmakers, production companies, public institutions, NGOs, communities, students, and film schools from around the world to submit their original short films on health. The festival's aim is to recruit a new generation of film and video innovators to champion and promote global health issues.",3,1,3353,Information media and telecommunications,,
Race to Zero,5,0,,,https://racetozero.unfccc.int/heres-how-we-get-net-zero-right/,Add by Hongyi,"Race to Zero: is a global campaign to rally leadership and support from businesses, cities, regions, investors for a healthy, resilient, zero carbon recovery that prevents future threats, creates decent jobs, and unlocks inclusive, sustainable growth.
All members are committed to the same overarching goal: achieving net zero emissions by 2050 at the very latest."," 11, 13",1,3354,Public administration and safety,,
Global Biodiversity Framework,5,0,,,https://www.cbd.int/conferences/post2020,Add by Hongyi,"This board is meant to support social media activity related to the UN Biodiversity Conference (#COP15) as well as the development of the post-2020 global biodiversity framework.
This is a sharing platform that encourages the masses to share the information related to the UN Biodiversity Conference on social media."," 12, 13, 14, 15",1,3355,Public administration and safety,,
ActNow,5,1,,,"https://www.un.org/actnow
https://trello.com/b/bK5ioIoO/actnow-the-uns-climateaction-campaign",Add by Hongyi,"ActNow is the United Nations campaign for individual action on climate change and sustainability.
The ActNow campaign was launched at the UN Climate Change Conference (COP 24) in December 2018, with a call from Sir David Attenborough in conjunction with the award-winning “People’s Seat” initiative.
The campaign has been embraced by influencers on social media, by leading chefs sharing sustainable recipes and hacks, and by companies engaging their employees and customers.",13,1,3356,Information media and telecommunications,,
World Bicycle Day,6,0,,,https://www.un.org/en/observances/bicycle-day,Add by Hongyi,"World Bicycle Day draws attention to the benefits of using the bicycle — a simple, affordable, clean and environmentally fit sustainable means of transportation. The bicycle contributes to cleaner air and less congestion and makes education, health care and other social services more accessible to the most vulnerable populations. A sustainable transport system that promotes economic growth, reduces inequalities while bolstering the fight against climate change is critical to achieving the Sustainable Development Goals."," 3, 10, 11, 13",1,3357,Public administration and safety,,
World Environment Day,6,0,,,https://www.un.org/en/observances/environment-day,Add by Hongyi,"World Environment Day is celebrated every year on June 5 to raise awareness and generate action on a pressing environmental issue. The Day offers an opportunity to reflect on accomplishments and renew our resolve in overcoming the environmental challenges facing the world today. Held annually since 1974, World Environment Day is a vital platform for promoting progress on the environmental dimensions of the Sustainable Development Goals. Governments, major corporations, non-governmental organizations, local communities, celebrities and citizens around the world adopt the World Environment Day brand and participate in celebrations every year in support of the environment.",13,1,3358,Public administration and safety,,
World Oceans Day,6,0,,,https://www.un.org/en/observances/oceans-day,Add by Hongyi,"World Oceans Day reminds every one of the major role the oceans have in everyday life. They are the lungs of our Planet and a major source of food and medicine and a critical part of the biosphere.
The purpose of the Day is to inform the public of the impact of human actions on the ocean, develop a worldwide movement of citizens for the ocean, and mobilize and unite the world’s population on a project for the sustainable management of the world's oceans.",14,1,3359,Public administration and safety,,
Donate Does NOW - COVID-19 Vaccine Dose Sharing,5,0,,,https://weshare.unicef.org/Package/2AMZIFHD6LD7,Add by Hongyi,"UNICEF is calling on wealthy countries to collectively commit to sharing available COVID-19 vaccines now. Sharing doses over the next few weeks will allow COVAX to distribute vaccines to the world’s lower income countries as quickly as possible. Only together can we ensure vaccines are available to people in all countries, and not just the privileged few.",3,1,3360,Health care and social assistance,,
Protection Campaign,5,0,,,https://www.stimson.org/2022/protecting-those-who-protect-human-rights-opportunities-and-risks-for-action-at-the-un/,Add by Hongyi,"this campaign ensures that young people can safely exercise their human rights without risk of threats and reprisals, especially their rights to freedom of expression, association and peaceful assembly, which are enshrined in various human rights instruments."," 10 , 16",1,3361,Apply to all organizations,,
Youth4Peace,5,0,,,"https://www.youth4peace.info/homepage
https://trello.com/b/SFejRdeC/protection-campaign-june-july-2021",Add by Hongyi,"This is a 6-week campaign, led by UNOY Peacebuilders in collaboration with the UN Youth Envoy's Office (OSGEY) within the GCYPS Communications WG. The primary goal is to raise awareness around threats and challenges young people face in civic space, as well as build momentum towards the launch of the first-ever global report on this topic, commissioned by OSGEY. The content of this campaign is drawn directly from the report.","4, 8, 10",1,3362,Public administration and safety,,
the Generation Equality Forum,5,0,,,"https://trello.com/b/FRK0vKhT/generation-equality-forum-paris
https://forumgenerationegalite.fr/en/get-involved/register",Add by Hongyi,"The Generation Equality Forum is a global gathering for gender equality, convened by UN Women and co-hosted by the Governments of Mexico and France together with civil society and youth.
The Forum will bring together people from civil society, youth organizations, academia, governments, businesses, cities, parliaments, trade unions, media and more.","5, 10",1,3363,Apply to all organizations,,
Good Food For All,5,0,,,"https://trello.com/b/WYRIO5jo/good-food-for-all
https://www.un.org/en/food-systems-summit",Add by Hongyi,"Adopted as the public campaign for the 2021 UN Food Systems Summit (UNFSS), Good Food For All aims to shift from a technical discussion to a focus on food, driving thinking and action around food as a solution to drive prosperity for people and the planet now, that everyone, everywhere can join.",2,1,3364,Accommodation and food services,,
CULTURE AND SUSTAINABLE DEVELOPMENT,5,0,,,https://media.un.org/en/webtv/,Add by Hongyi,"This event, which will be held on Friday 21 May 2021, the World Day for Cultural Diversity for Dialogue and Development, will highlight the resilient and transformative role of culture as an accelerator of SDG implementation, as well as the challenges within the cultural and creative industries and the broader cultural ecosystem that were exposed and exacerbated by the COVID-19 crisis.","10, 11",1,3365,Apply to all organizations,,
Generation Equality Forum: March & June,5,0,,,https://www.unwomen.org/en/news/stories/2021/2/announcer-generation-equality-film-festival-open-for-submissions,Add by Hongyi,"The Generation Equality Forum will kick off in Mexico and bring together governments, corporations and change makers of all ages and genders to define and announce ambitious gender equality investments and commitments. There will be a Generation Equality Film Festival during the Forum.","4, 10",1,3366,Apply to all organizations,,
International Girls in ICT Day,5,0,,,https://www.itu.int/women-and-girls/girls-in-ict/international-girls-in-ict-day-2021/,Add by Hongyi,"This year the United Nations will mark the 10th anniversary of the international day, stressing that girls in ICTs have a positive impact to create a meaningful shift in the gender gap, as well as help shape the future in a post-COVID era.","5, 10",1,3367,Apply to all organizations,,
